track_name,track_artist,year,track_id,playlist_genre,Energy,Danceability,Valence,Acousticness,Instrumentalness,Tempo,decade
Fader,The Temper Trap,2009,spotify:track:0vNPJrUrBnMFdCs8b2MTNG,Rock,0.7622820203861723,0.5384615384615385,0.15879396984924624,9.917282517667455e-05,0.700507614213198,0.6193939783308017,00s
Sherry,Frankie Valli & The Four Seasons,2003,spotify:track:0NpvdCO506uO58D4AbKzki,R&B,0.4794277155292129,0.7115384615384615,0.7376884422110552,0.6316841555811333,0.0,0.5394905306246071,00s
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",2016,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,Hip Hop,0.7161426656931932,0.6720647773279352,0.7135678391959799,0.03561793832572376,8.548223350253807e-06,0.4679344509047188,10s
Let Go for Tonight,Foxes,2014,spotify:track:59lq75uFIqzUZcgZ4CbqFG,Electronic,0.8104274339788464,0.5495951417004049,0.3005025125628141,0.04328698056567825,1.6649746192893402e-06,0.6427519239329457,10s
The Way I Want To Touch You,Captain & Tennille,1975,spotify:track:7KdcZQ3GJeGdserhK61kfv,Rock,0.5867518666628819,0.6720647773279352,0.6,0.629665986570619,0.00011370558375634518,0.5107084019769358,70s
Still Got Time (feat. PARTYNEXTDOOR),"ZAYN, PARTYNEXTDOOR",2017,spotify:track:000xQL6tZNLJzIrtIgxqSl,Hip Hop,0.6288791035564716,0.757085020242915,0.5266331658291458,0.1321873254788348,0.0,0.5550976765957055,10s
Your Song,Rita Ora,2017,spotify:track:46xkXPGjR9Ig9BcaTUNus3,Electronic,0.5727094543650186,0.8633603238866396,0.9628140703517588,0.13420549448934915,0.0,0.5414592061969685,10s
Fix You,Coldplay,2005,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,Pop,0.41824291908852307,0.21153846153846154,0.12462311557788945,0.1654871141523214,0.0019898477157360406,0.6340970937943123,00s
There You'll Be - 2007 Remaster,Faith Hill,2007,spotify:track:1s2khOWzC99udpUaPICLJI,Country,0.5335913058209711,0.32894736842105265,0.1628140703517588,0.5005031698977014,0.0,0.5920757366471939,00s
Every Breath You Take - Remastered 2003,The Police,1983,spotify:track:2sXp9Qmvc7mRaDBjBgcGGi,Rock,0.4613731854319602,0.8228744939271254,0.7326633165829145,0.5650845782341603,0.010659898477157361,0.5386874578386787,80s
You're the Inspiration - 2009 Remaster,Chicago,1984,spotify:track:6d7PQZtTbHbcYqaygOW7vs,Rock,0.6078154851096768,0.5850202429149797,0.3587939698492462,0.38042211377209834,0.0,0.339181232877341,80s
"The Key, The Secret",Urban Cookie Collective,2004,spotify:track:0Lg4ckCFjFUeyHOeSozcWS,Electronic,0.7983910805806779,0.7105263157894737,0.6100502512562814,0.07658676923916481,0.002568527918781726,0.5960084988045687,00s
Paradise City,Guns N' Roses,1987,spotify:track:5Q41NLTmGbVPozwHKK7bk2,Rock,0.951854586407326,0.2773279352226721,0.4994974874371859,0.021591663702649113,0.007898477157360405,0.4604865244386521,80s
Tonight I'm Yours (Don't Hurt Me),Rod Stewart,1981,spotify:track:5sgVguJJlA7thC8ybAFOo5,Rock,0.828481964076099,0.688259109311741,0.9678391959798994,0.06891772699921034,0.45076142131979696,0.7265009430368999,80s
You Were On My Mind,We Five,2011,spotify:track:43wMcgNk8o3Qx7jxg3Lkfo,Rock,0.5345943352708185,0.5394736842105263,0.6412060301507538,0.29565901533049616,0.0,0.6447251884926553,10s
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",2013,spotify:track:2Foc5Q5nqNiosCNqttzHof,Electronic,0.8134365223283885,0.8036437246963564,0.8663316582914573,0.0429842552141011,1.0862944162436547e-06,0.5325382147921418,10s
Party,Christine Anu,1995,spotify:track:6LZOgBvntXL1egqIHHPnhn,Rock,0.9257758207112944,0.742914979757085,0.8512562814070351,0.04994693830037556,1.3096446700507614e-05,0.50323294158678,90s
Riptide,Vance Joy,2013,spotify:track:5ma71INSTL8sY1HzjVBj2g,Rock,0.72115781294243,0.5080971659919028,0.44020100502512566,0.46417612770844335,0.0,0.46628241545938054,10s
