decade,playlist_genre,count,prev_count,change
20s,afrobeats,82,,82.0
00s,ambient,2,,2.0
10s,ambient,42,2.0,40.0
20s,ambient,315,42.0,273.0
10s,arabic,45,,45.0
20s,arabic,161,45.0,116.0
90s,arabic,2,161.0,-159.0
00s,blues,35,,35.0
10s,blues,12,35.0,-23.0
20s,blues,2,12.0,-10.0
60s,blues,1,2.0,-1.0
70s,blues,1,1.0,0.0
80s,blues,7,1.0,6.0
90s,blues,30,7.0,23.0
00s,brazilian,33,,33.0
10s,brazilian,43,33.0,10.0
20s,brazilian,56,43.0,13.0
90s,brazilian,16,56.0,-40.0
00s,cantopop,12,,12.0
10s,cantopop,10,12.0,-2.0
90s,cantopop,5,10.0,-5.0
00s,classical,17,,17.0
10s,classical,52,17.0,35.0
20s,classical,39,52.0,-13.0
70s,classical,1,39.0,-38.0
90s,classical,12,1.0,11.0
00s,country,2,,2.0
10s,country,4,2.0,2.0
20s,country,2,4.0,-2.0
70s,country,2,2.0,0.0
80s,country,1,2.0,-1.0
10s,disco,7,,7.0
20s,disco,1,7.0,-6.0
90s,disco,1,1.0,0.0
00s,electronic,16,,16.0
10s,electronic,160,16.0,144.0
20s,electronic,402,160.0,242.0
90s,electronic,11,402.0,-391.0
00s,folk,4,,4.0
10s,folk,25,4.0,21.0
20s,folk,35,25.0,10.0
70s,folk,4,35.0,-31.0
10s,funk,6,,6.0
20s,funk,22,6.0,16.0
00s,gaming,1,,1.0
10s,gaming,19,1.0,18.0
20s,gaming,113,19.0,94.0
20s,gospel,39,,39.0
00s,hip-hop,4,,4.0
10s,hip-hop,83,4.0,79.0
20s,hip-hop,259,83.0,176.0
90s,hip-hop,49,259.0,-210.0
00s,indian,2,,2.0
10s,indian,19,2.0,17.0
20s,indian,35,19.0,16.0
90s,indian,1,35.0,-34.0
10s,indie,8,,8.0
20s,indie,9,8.0,1.0
20s,j-pop,23,,23.0
00s,jazz,18,,18.0
10s,jazz,8,18.0,-10.0
20s,jazz,102,8.0,94.0
50s,jazz,1,102.0,-101.0
90s,jazz,17,1.0,16.0
20s,k-pop,17,,17.0
00s,korean,1,,1.0
10s,korean,15,1.0,14.0
20s,korean,16,15.0,1.0
80s,korean,1,16.0,-15.0
90s,korean,1,1.0,0.0
00s,latin,16,,16.0
10s,latin,97,16.0,81.0
20s,latin,306,97.0,209.0
90s,latin,6,306.0,-300.0
10s,lofi,17,,17.0
20s,lofi,282,17.0,265.0
20s,mandopop,14,,14.0
00s,metal,8,,8.0
10s,metal,7,8.0,-1.0
20s,metal,2,7.0,-5.0
80s,metal,9,2.0,7.0
90s,metal,23,9.0,14.0
00s,pop,56,,56.0
10s,pop,174,56.0,118.0
20s,pop,231,174.0,57.0
50s,pop,1,231.0,-230.0
60s,pop,1,1.0,0.0
70s,pop,12,1.0,11.0
80s,pop,19,12.0,7.0
90s,pop,21,19.0,2.0
00s,punk,52,,52.0
10s,punk,18,52.0,-34.0
90s,punk,4,18.0,-14.0
00s,r&b,20,,20.0
10s,r&b,16,20.0,-4.0
20s,r&b,13,16.0,-3.0
90s,r&b,1,13.0,-12.0
00s,reggae,5,,5.0
10s,reggae,8,5.0,3.0
20s,reggae,4,8.0,-4.0
80s,reggae,2,4.0,-2.0
90s,reggae,5,2.0,3.0
00s,rock,62,,62.0
10s,rock,34,62.0,-28.0
20s,rock,83,34.0,49.0
60s,rock,7,83.0,-76.0
70s,rock,36,7.0,29.0
80s,rock,64,36.0,28.0
90s,rock,59,64.0,-5.0
10s,soca,9,,9.0
20s,soca,4,9.0,-5.0
90s,soca,1,4.0,-3.0
20s,soul,44,,44.0
20s,turkish,71,,71.0
20s,wellness,80,,80.0
00s,world,17,,17.0
10s,world,76,17.0,59.0
20s,world,127,76.0,51.0
90s,world,8,127.0,-119.0
